"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2023","7.1670","7.1110","7.3690","6.9020","2.98M","0.72%"
"10/25/2023","7.1160","6.9970","7.2210","6.8860","2.41M","1.66%"
"10/24/2023","7.0000","7.0450","7.3020","6.8070","4.85M","-0.33%"
"10/23/2023","7.0230","6.7520","7.0480","6.6190","2.97M","4.00%"
"10/22/2023","6.7530","6.6320","6.7610","6.5150","1.44M","1.84%"
"10/21/2023","6.6310","6.4070","6.6990","6.3610","1.52M","3.50%"
"10/20/2023","6.4070","6.2620","6.4730","6.2480","1.42M","2.30%"
"10/19/2023","6.2630","6.2930","6.2930","6.1750","1.41M","-0.40%"
"10/18/2023","6.2880","6.4420","6.4610","6.2880","1.14M","-2.42%"
"10/17/2023","6.4440","6.6310","6.6310","6.3840","1.06M","-2.76%"
"10/16/2023","6.6270","6.5980","6.7750","6.5690","1.77M","0.41%"
"10/15/2023","6.6000","6.5780","6.6790","6.5240","1.00M","0.29%"
"10/14/2023","6.5810","6.5640","6.6590","6.5620","464.56K","0.24%"
"10/13/2023","6.5650","6.5860","6.6440","6.5020","975.13K","-0.29%"
"10/12/2023","6.5840","6.7020","6.7320","6.4130","1.70M","-1.79%"
"10/11/2023","6.7040","6.6760","6.7530","6.4870","1.46M","0.36%"
"10/10/2023","6.6800","6.8260","7.3300","6.5980","5.46M","-2.21%"
"10/09/2023","6.8310","6.9410","6.9600","6.5890","1.27M","-1.61%"
"10/08/2023","6.9430","6.9630","6.9870","6.8490","618.30K","-0.29%"
"10/07/2023","6.9630","6.9120","6.9940","6.8710","601.82K","0.80%"
"10/06/2023","6.9080","6.8320","6.9590","6.8120","686.99K","1.11%"
"10/05/2023","6.8320","6.9620","6.9960","6.7720","916.33K","-1.91%"
"10/04/2023","6.9650","7.0580","7.0670","6.8860","1.12M","-1.39%"
"10/03/2023","7.0630","7.1430","7.2780","7.0390","970.51K","-1.11%"
"10/02/2023","7.1420","7.5720","7.5840","7.0910","1.42M","-5.52%"
"10/01/2023","7.5590","7.2350","7.6510","7.1770","1.37M","4.42%"
"09/30/2023","7.2390","7.1020","7.2980","7.0890","685.15K","1.93%"
"09/29/2023","7.1020","7.1070","7.1930","7.0720","716.78K","-0.04%"
"09/28/2023","7.1050","6.9700","7.1960","6.9350","1.06M","1.92%"
"09/27/2023","6.9710","6.9580","7.1190","6.8930","1.01M","0.19%"
"09/26/2023","6.9580","7.0440","7.0920","6.9010","945.32K","-1.14%"
"09/25/2023","7.0380","6.9710","7.0780","6.9210","1.13M","0.83%"
"09/24/2023","6.9800","7.0810","7.1430","6.9630","589.45K","-1.48%"
"09/23/2023","7.0850","7.1320","7.1970","7.0500","849.55K","-0.73%"
"09/22/2023","7.1370","7.1500","7.2360","7.0360","954.42K","-0.29%"
"09/21/2023","7.1580","7.2940","7.5090","7.1580","1.76M","-1.84%"
"09/20/2023","7.2920","7.5030","7.5140","7.2090","1.11M","-2.81%"
"09/19/2023","7.5030","7.3760","7.5830","7.2070","1.50M","1.64%"
"09/18/2023","7.3820","6.9410","7.4830","6.8530","1.95M","6.31%"
"09/17/2023","6.9440","7.1480","7.1680","6.9050","1.17M","-2.80%"
